Turkey,Ankara,73192840,783562
Turkmenistan,Ashgabat,4833266,488100
Turks_Islands,Cockburn Town,33098,417
Tuvalu,Funafuti,10441,26
Uganda,Kampala,28816230,241038
Ukraine,Kyiv,46480700,603700
UAE,Abu Dhabi,4495823,83600
United_Kingdom,London,59667840,242900
USA,Washington D.C.,298212900,9629091
Uruguay,Montevideo,3463197,175016
US_Virgin_Islands,Charlotte Amalie,104737,346.4
British_Virgin_Islands,Road Town,23552,153
Uzbekistan,Tashkent,26593120,447400
Vanuatu,Port Vila,211367,12189
Vatican_City,Vatican City,783,0.44
Venezuela,Caracas,26749110,912050
Vietnam,Hanoi,84238230,331689
Wallis_and_Futuna,Mata-Utu,15289,264
Yemen,Sanaá,20974660,527968
Zambia,Lusaka,11668460,752618
Zimbabwe,Harare,13009530,390757
